Number,State,Value,Param epsilon_decay_percentage,Param lr_begin,Param nsteps_train
0,COMPLETE,0.5,0.7,0.001,1000
1,COMPLETE,1.6,1,0.0005,1500
2,COMPLETE,0.5,0.3,0.0005,1000
3,COMPLETE,4.1,0.5,0.0005,3000
4,COMPLETE,-0.7000000000000001,0.8,0.001,1000
5,RUNNING,,0.4,0.001,2000
6,COMPLETE,0.5,0.3,0.001,1000
7,COMPLETE,1.4000000000000001,0.9,0.0005,2500
8,COMPLETE,0.5,0.5,0.0005,1500
9,COMPLETE,0.5,0.8,0.001,1000
10,COMPLETE,0.5,0.3,0.001,3000
11,COMPLETE,0.5,0.4,0.0005,3000
12,COMPLETE,0.5,1,0.0005,1500
13,COMPLETE,1.4000000000000001,0.5,0.0005,2000
14,COMPLETE,-2.0,1,0.0005,1500
15,COMPLETE,4.1,0.6,0.0005,3000
16,COMPLETE,0.5,0.6,0.0005,3000
17,COMPLETE,0.5,0.6,0.0005,3000
18,COMPLETE,0.5,0.5,0.0005,3000
19,COMPLETE,-0.1,0.4,0.0005,2500
20,COMPLETE,4.1,0.6,0.0005,2000
21,COMPLETE,0.5,0.7,0.0005,3000
22,COMPLETE,1.4000000000000001,0.6,0.0005,2000
23,COMPLETE,-0.1,0.6,0.0005,2000
24,COMPLETE,4.1,0.6,0.0005,2000
25,COMPLETE,0.5,0.9,0.0005,3000
26,COMPLETE,-0.1,0.5,0.0005,2000
27,COMPLETE,0.7000000000000001,0.6,0.001,3000
28,COMPLETE,0.5,0.6,0.0005,2500
29,COMPLETE,0.5,0.5,0.0005,2000
30,COMPLETE,1.4000000000000001,0.7,0.001,3000
31,COMPLETE,4.1,0.6,0.0005,3000
32,COMPLETE,1.4000000000000001,0.6,0.0005,2000
33,COMPLETE,0.5,0.6,0.0005,2000
34,COMPLETE,0.5,0.6,0.0005,2000
35,COMPLETE,0.5,0.8,0.0005,2000
36,COMPLETE,-0.5,0.6,0.0005,2000
37,COMPLETE,0.5,0.9,0.001,1000
38,COMPLETE,0.5,0.3,0.0005,2500
39,COMPLETE,0.5,0.4,0.0005,1500
40,COMPLETE,-0.5,0.5,0.001,1000
41,COMPLETE,0.5,0.8,0.0005,3000
42,COMPLETE,0.5,0.6,0.0005,3000
43,COMPLETE,0.5,0.6,0.0005,3000
44,COMPLETE,4.1,0.6,0.0005,3000
45,COMPLETE,0.5,1,0.0005,3000
46,COMPLETE,4.1,0.3,0.0005,3000
47,COMPLETE,0.5,0.7,0.0005,1500
48,COMPLETE,0.5,0.6,0.001,2000
49,COMPLETE,0.5,0.5,0.0005,1000
50,COMPLETE,0.5,0.6,0.0005,3000
51,COMPLETE,1.4000000000000001,0.9,0.0005,2500
52,COMPLETE,0.9,0.6,0.0005,3000
53,COMPLETE,0.5,0.6,0.0005,3000
54,COMPLETE,0.5,0.6,0.0005,3000
55,COMPLETE,0.5,0.6,0.0005,3000
56,COMPLETE,4.0,1,0.0005,3000
57,COMPLETE,4.1,0.4,0.0005,2000
58,COMPLETE,0.5,0.6,0.0005,3000
59,COMPLETE,-0.1,0.5,0.0005,1500
60,COMPLETE,4.1,0.8,0.001,3000
61,COMPLETE,4.0,0.6,0.0005,2000
62,COMPLETE,0.5,0.3,0.0005,3000
63,COMPLETE,0.5,0.3,0.0005,3000
64,COMPLETE,4.1,0.3,0.0005,3000
65,COMPLETE,4.0,0.3,0.0005,3000
66,COMPLETE,4.1,0.6,0.0005,3000
67,COMPLETE,0.5,0.7,0.0005,2000
68,COMPLETE,4.1,0.5,0.0005,2500
69,COMPLETE,1.4000000000000001,0.3,0.0005,3000
70,COMPLETE,0.5,0.6,0.0005,1000
71,COMPLETE,0.5,0.9,0.001,2000
72,COMPLETE,4.1,0.4,0.0005,2000
